Name,Subscribers,Videos,Description
Sailing SV Delos,785000,496,"Sailing With SV Delos! This is our story, a story of four souls sailing around the world. It is a story about sailing and travel and ..."
Sailing SV Happy Together,23300,109,Hello and we are glad you found our channel. We are a couple of hard working entrepreneurs who found a way to cruise without ...
Sailing SV Tengah,2010,17,Scott and Mie are sailing around the world on our Amel 54 bluewater sailboat while living the digital nomad lifestyle in an eco ...
Sailing SV OliLuki,15600,29,"It has been said that “life is short”, that ""children grow up so quickly”. It's easy to become trapped in the daily rut of life, working so ..."
Sailing SV Bora Bora,22800,53,"The adventures of a British couple living aboard their first boat, a 1974 Victory 40. Follow us as we leave the UK and head south, ..."
Sailing SV CUBA,719,14,Hola and Hallöchen! We are Enrique (Kiki) from Cuba and Sarah (Salsa) from Germany. It took us many years of working in office ...
Sailing SV Sarean,14500,89,"We are a couple who live an alternative life – a life at sea. We love sailing, we love exploring, meeting amazing people, ..."
Sailing SV Indigo,264,16,"Join us, Ingrid and Jim, aboard our 37 foot sailboat, Indigo, as we find out what makes the Pacific Northwest one of the world's ..."
Sailing SV Pixiefish,1120,16,SV Pixiefish A sailboat refit of a 1982 George Stadel III 48 foot Ketch and the adventures of friends new and old.
SV Seeker,212000,843,Building a 74ft steel origami junk rigged motorsailer in our front yard. ...and living the dream.
S/V Blown Away,1790,124,"WELCOME ON BOARD - We are Natalie, Ian and Nelson ""JOIN THE CREW"" on you tube as we share our adventures with YOU, ..."
Sailing SV Bohemian,455,34,Living the Sailing Lifestyle.
Sailing sv Trim,251,7,Sailing & freediving couple ‍ ‍ Rebuilding our boat s/v Trim ⛵ to continue the voyage in search of the most remote dive ...
Sailing SV Tinylight,97,18,"After personal life changing experiences, the channel will restart with new videos, from Vlogs to more technical. Steel repairs ..."
Sailing SV No Regrets,932,80,"Follow Chris & Joanne's adventures after we move aboard full time on our Seawind 1260 catamaran ""No Regrets""."
Sailing SV Slow Ride,102,45,"Join us on our amazing adventure while we sail Green Bay in our sailboat Slow Ride, a 25-foot Catalina built in 1982. We bought ..."
Sailing Zatara,411000,281,"As my husband and I entered our mid-40s, we realized we were completely exhausted with corporate America and the effect it ..."
Sailing La Vagabonde,1700000,479,We are an Australian couple with the dream of circumnavigating the globe by sail boat… initially having no clue of how to sail.
Sailing sv Blaatunge,535,138,"Just a look inside my sailing life, on s/v Blaatunge of Rudkøbing, Denmark. Starting in the easter 2012, when i got hand on the ..."
Sailing SV Lukim Yu,48,16,We are Susan & Peter and welcome to SV Lukim Yu. We are a sailing couple who loves the cruising life. Follow us as we set sail ...
Sailing SV Adventure,10,1,
Sailing SV BettySue,87,3,Sailing our Mac26x around the U.S. West Coast with plans to eventually buy a bluewater boat and sail the world!! And partying ...
Sailing Catalpa,33600,310,"We are a family of 4 that packed up our life on the Gold Coast in Australia, Sold everything to live our dream and sail the world in ..."
Sailing Zingaro,122000,230,"After shipwrecking in a storm 100nm off the coast of Hawaii, Captain James is at it again! This time on a HUGE, very heavily-built ..."
Sailing SV SaultLife,31,17,Hello everyone Welcome to our YouTube channel. come Join us as we learn to sail our boat become our home. It's a story of 3 ...
Sailing Avocet,16300,46,"Hello! We are Chris and Marissa Neely, the crew of S/V Avocet. We bought Avocet in 2018 as newly weds, fresh out of college ..."
Sailing SV Cordelia,929,73,"We are a middle age couple who have given up our jobs to carry out our dream of cruising. We're down-to-earth, no-frills and ..."
Sailing Dauntless,23600,79,We are family living out our dreams of traveling and seeing as much of the world as we can. We hope to inspire and inform our ...
Sailing Vessel Prism,25800,45,"These are the adventures of SV Prism. Follow the the crew, Shannon and Jon as they sail their Hans Christian 33 sailboat to ..."
Sailing SV Pegasus,178,20,"We are a family of four living on the beautiful Northern Beaches of Sydney, Australia. Our dream is to sailnear and far on our ..."
Sailing SV Jackson,26,6,"A Dog named Mr Pants & A Sailboat named Jack'son ⚓️ Destination: 2017 Florida, Bahamas to Nova Scotia."
Sailing SV Star,13,3,"Welcome aboard Star! Allow us to introduce ourselves as her stewards and crew-Liam, Meghan and our chihuahua, DinahMyte."
Sailing Triteia,63000,302,My name is James and I have recently untied the lines for good and set off to start a slow circumnavigation of this big beautiful ...
SeaWolf,6740,82,In 2015 we bought sold most of our belongings and took a year off and sailed around the Caribbean! Our goal is to motivate ...
Sailing Yacht Florence,101000,126,We are a British couple who set off in 2016 to sail around the world on our 37ft monohull. Thousands of miles and multiple oceans ...
Sailing SV ObLaDi,53,18,Sailing ObLaDi is the episodic journey of three friends taking on the challenge of a project yacht bought for just $1.00 USD. Obladi ...
SV Impavidus,7200,175,"Sailing, travel, boat maintenance and general entertainment for sailors and those that love to sail."
Sailing SV Mutiny,480,56,Shoestring backpackers and a toilet trained black cat with no idea about sailing buy a sailboat with their last savings.
Sailing SV Easy,580,75,"All about our sailing vessel EASY, a Swan 44 MKII, and our travels. www.sveasy.de Plus videos about Kitesurfing, Surfing, Skiing, ..."
Sailing SV Ladyhawk,1,3,C&C121 Ladyhawk sailing Santa Barbara channel.
Sailing SV Senta,48,10,
