"ID","Title","Description","Join_Date","View_Count","Video_Count","Subscriber_Count","Is_Subcriber_Count_Hidden","Omitted"
"UCvLc83k5o11EIF1lEo0VmuQ","Sailing SV Delos","Sailing With SV Delos!  This is our story, a story of four souls sailing around the world.  It is a story about sailing and travel and adventure.  But it's also a story about meeting amazing people and making life long friends.  It's a story of people living their lives in an alternate way, in close connection with the beautiful people and amazing planet that we call home.  Our experience has affected us so profoundly we want to share it, hoping that others may find inspiration to follow their dreams and do what they love.",2007-05-17,198830393,496,786000,FALSE,FALSE
"UChCFAuJ5xQ-mdO42bCLFSwA","Sailing SV Happy Together","Hello and we are glad you found our channel. We are a couple of hard working entrepreneurs who found a way to cruise without retiring and our schedule is packed. Lennie is a General Contractor who builds custom houses and I am a Flooring contractor serving the largest homebuilders in Florida. We have been together 23 years and boating has been the passion for both of us. We had power boats for years until our youngest left for college and we had the time to sail. We bought a Hunter 49 in the BVI and sailed the Caribbean once a month for 3 years. Then we had the crazy idea that we would sail to Panama and up to San Francisco where I learned to sail in San Francisco bay. We decided we needed a Catamaran for that trip and that is when Lennie bought me a Gopro and we started the channel by accident. I posted a video to show my family and 300 people watched it. And that is how this all began. So if you love life, people and fun join our adventures and always tell us how you like the show!",2008-09-24,2343476,109,23300,FALSE,FALSE
"UCJBmuShhE22LO1XIOAhtpbQ","Sailing SV Tengah","Scott and Mie are sailing around the world on our Amel 54 bluewater sailboat while living the digital nomad lifestyle in an eco friendly way.

We are a young international travel couple (US and Denmark) that were stuck in the typical corporate life and decided that we wanted something different. Six months after our first date, we decided to leave our old lives behind, buy a liveaboard sailboat and pursue adventure travel while living a minimalist, off the grid life in our “tiny house” that just happened to be able to take us across oceans.

Follow us as we circumnavigate and explore boat life, alternative living and most importantly, environmental and social issues affecting all of us. Mie somehow also finds the time to work remotely with an NGO!

We are 3 years into it and have crossed the Mediterranean, Atlantic Ocean, Caribbean Sea and are now in the Pacific Ocean. Hope you enjoy our stories!

- Scott and Mie
",2018-04-29,64708,17,2000,FALSE,FALSE
"UCAqgweJ0U1NbIIOm30j8i6g","Sailing SV OliLuki","It has been said that “life is short”, that ""children grow up so quickly”.   It’s easy to become trapped in the daily rut of life, working so hard so “one day” we can reach the holy grail of retirement and only then can we truly enjoy life.   We believe in dreams, setting goals and making them happen so we can enjoy every precious moment of life, starting right now.  

We are a family of four, Andy and Maki and our identical twin boys Oliver and Lukas.   We decided there was no better time than now to make a change in our lives, sell the majority of the company we started 13 years ago and set sail to share with our children what this incredible world has to offer.  Because the greatest gift we can give one another is time and the memories we build together.   Join us in the adventures of SV OliLuki as seen through the eyes of our children.  Subscribe and Share as we make a positive difference in the lives of others, together.",2019-12-04,979871,29,15600,FALSE,FALSE
"UCY8CGO6EX8PwA1B-KUA_Djg","Sailing SV Bora Bora","The adventures of a British couple living aboard their first boat, a 1974 Victory 40. Follow us as we leave the UK and head south, learning along the way, and see what it's really like living afloat.",2015-04-18,4085271,53,22800,FALSE,FALSE
"UCKvNA03f2c7EZ0ZLF9MTttw","Sailing SV CUBA","Hola and Hallöchen!

We are Enrique (Kiki) from Cuba and Sarah (Salsa) from Germany. 

It took us many years of working in office jobs and crunching numbers to reach our dream of buying a sailboat. ⛵
But now we are finally here to share our story with you! We started off with almost 0 sailing experience and just threw ourselves into the liveaboard lifestyle. Sailing, especially in the Mediterranean is very challenging but every day we are learning something new. 
We also never created a vlog or videos on YouTube before, but we are just stoked to be here now, to share our adventures with you and to bring you some good vibes! 😎🤗

Join us every Friday, leave us a commend and - please like, subscribe and press the bell button if you would like to see us each week!

Sunny saludos the crew @ SV CUBA!
",2020-12-04,32606,15,755,FALSE,FALSE
"UC9p8ChaDOMRyXJNEYRWWhkg","Sailing SV Sarean","We are a couple who live an alternative life – a life at sea.       We love sailing, we love exploring, meeting amazing people, experiencing new cultures - and we have a tonne of knowledge to share. 

Follow our story as we sail around the world, filming our adventures, exploring the oceans and our beautiful planet!

Please click 'SUBSCRIBE' to follow our channel (CLICK THE BELL over there on the top right!)

THANK YOU so much for supporting our channel.    


We find sailing to be 'a better way to get connected' and are so inspired by the wonders of nature.  We hope to inspire you to find your connection through our travels!


To LEARN MORE about us, our beautiful Sarean and find tonnes of cruisers resources - check out our WEBSITE:
www.sailingsvsarean.com

You will find our FACEBOOK and INSTAGRAM LINKS BELOW   - FOLLOW US to KEEP UP TO DATE!

Please continue to like and share - it helps us provide movies and inspiration for you!

Peace and love,

Meg & Darren
Sailing SV Sarean",2011-12-06,2397169,89,14500,FALSE,FALSE
"UCo1G9NrlFGYUtYZjzewO5jw","Sailing SV Indigo","Join us, Ingrid and Jim, aboard our 37 foot sailboat, Indigo, as we find out what makes the Pacific Northwest one of the world's most exhilarating sailing and cruising destinations.",2020-07-05,10266,16,262,FALSE,FALSE
"UCt3li1CeKZIDdi61ey8sjKA","Sailing SV Pixiefish","SV Pixiefish A sailboat refit of a 1982 George Stadel III 48 foot  Ketch and the adventures of friends new and old",2018-01-17,66993,16,1120,FALSE,FALSE
"UCj_XaV1ss-qdD-lPUtTEcXw","SV Seeker","Building a 74ft steel origami junk rigged motorsailer in our front yard.  ...and living the dream.",2006-12-02,67428959,845,212000,FALSE,FALSE
"UCScoFrV_opZ48AvzOwIQ_fw","S/V Blown Away","WELCOME ON BOARD - We are Natalie, Ian and Nelson 

""JOIN THE CREW"" on you tube as we share our adventures with YOU, we are creating a mixture of SAILING related content

"" BLOWN AWAY"" Is a Hedonist Yacht designed by Peter Ibold  and built in 1978 I bought her way back in 2000 and have now been living on board for NINETEEN years, we TRAVEL and WORK our way around the globe with our boxer dog Nelson, he's a TRUE sea dog having never lived in a house, come and JOIN US, SAY HI , LEAVE A COMMENT or maybe just a THUMBS UP !

If you enjoy our content and find it INFORMATIVE OR MILDLY AMUSING and feel you would like to support the making of our videos then you can “BUY US A COFFEE” please use the link below and we will give you a shout out in future vlogs.

https://.ko-fi.com/blownaway 

OR if you prefer to support us on Patreon we can be found just here, where you can support future productions of Blown Away videos

https://www.patreon.com/svblownaway?fan_landing=true

THANK YOU 








",2018-06-08,53635,125,1810,FALSE,FALSE
"UCbgaynL5T3grH3Vf4NAjWvQ","Sailing SV Bohemian","Living the Sailing Lifestyle.",2020-10-04,31534,34,454,FALSE,FALSE
"UChpGNhtehglOYP92Wo35UVQ","Sailing sv Trim","Sailing & freediving couple 👩🏼‍🤝‍👨🏻 Rebuilding our boat s/v Trim ⛵ to continue the voyage in search of the most remote dive sites on 🌍 help us succeed and join us aboard! :) ",2018-07-06,6076,7,252,FALSE,FALSE
"UCq_-IDBeLqHXLpqlHRffGdA","Sailing SV Tinylight","After personal life changing experiences, the channel will restart with new videos, from Vlogs to more technical.

Steel repairs,
Electronics navigation,
Safety tips,
Minimalist lifestyle
Self-sustain
and more !!

We will learn more about the sea, the nature, about who we are and get connected with the truth that resides deep down our heart or up above our head. 
I Left my day job, bought a boat, got on board and set sail. Following a tiny light of hope and inner understanding.

Come join on this journey, for some refreshing time off the busy life, for a breeze from the sea...

Along the way, we hope to inspire awareness in nature and marine conservation through the wonderful people we meet while engage in a more sustainable way of living.

Become an associate producer! Support the channel on Patreon for free books, bonus interviews, and the chance to join the crew at 
https://www.patreon.com/Sailing_tinylight",2018-07-25,21567,18,96,FALSE,FALSE
"UCdhvAVus6cyDtB4PtogKSdw","Sailing SV No Regrets","Follow Chris & Joanne's adventures after we move aboard full time on our Seawind 1260 catamaran ""No Regrets"".

Our adventures take us to to New Caledonia, up and down the the east coast of Australia, and now on our circumnavigation of Australia, exploring remote places in the Kimberley and beyond.
",2019-02-01,61742,82,1020,FALSE,FALSE
"UCW9h1GRoCGV5G6cTnfJMqxA","Sailing SV Slow Ride","Join us on our amazing adventure while we sail Green Bay in our sailboat Slow Ride, a 25-foot Catalina built in 1982. We bought Slow Ride in 2015 without knowing a thing about sailing … or sailboats. With the help of the previous owners and new friends, we've learned the ins and outs of our new boat. At the same time, we joined Windjammers Sailing Club in Suamico, Wisconsin and have been cruising ... and racing ... ever since! 

We have a six-month sailing season in Wisconsin ... if we're lucky. Join us while we explore Green Bay waters and Door Peninsula destinations: Fish Creek, Egg Harbor, Ephraim, Sturgeon Bay, Sister Bay, and Washington Island as well as the west side of the bay destinations: Menominee, Oconto, and Cedar Creek. We typically stay overnight at Marinas but we enjoy the solitude of anchoring out. 

We're always looking for new sailing destinations to squeeze into our short summers, let us know what yours are, we'd love to hear from you. 
 
",2019-08-01,6544,46,103,FALSE,FALSE
